wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,key_plot_id,county_names,county_fips,population_served,date_start,date_end,detect_prop_15d,percentile,sampling_prior,first_sample_date,ptc_15d,sample_location_specify
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-09,2023-07-23,100,30.6,no,2023-06-21,181,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-10,2023-07-24,100,30.6,no,2023-06-21,181,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-11,2023-07-25,100,26.0,no,2023-06-21,161,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-12,2023-07-26,100,26.0,no,2023-06-21,-66,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-13,2023-07-27,100,26.0,no,2023-06-21,-66,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-14,2023-07-28,100,26.0,no,2023-06-21,-66,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-15,2023-07-29,100,26.0,no,2023-06-21,-66,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-16,2023-07-30,100,27.0,no,2023-06-21,-74,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-17,2023-07-31,100,27.0,no,2023-06-21,-80,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-18,2023-08-01,100,27.0,no,2023-06-21,-80,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-19,2023-08-02,100,27.0,no,2023-06-21,-88,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-20,2023-08-03,100,27.0,no,2023-06-21,-88,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-21,2023-08-04,100,27.0,no,2023-06-21,-88,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-22,2023-08-05,100,27.0,no,2023-06-21,-88,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-23,2023-08-06,100,17.0,no,2023-06-21,2,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-24,2023-08-07,100,17.0,no,2023-06-21,117,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-25,2023-08-08,100,26.5,no,2023-06-21,316,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-26,2023-08-09,100,26.5,no,2023-06-21,1422,
